talk_id,session_title,talk_title,speaker_name,affiliation,role,tumor_types,clinical_stage,topic_categories,novelty_flag,moa_summary,key_findings,n_targets,n_clinical_data,n_combination_strategies,primary_metric,primary_value,primary_n,primary_population
the-dark-side-of-cancer-therapies-therapy-induced-comorbidities-across-the-lifes::limoli::1,the-dark-side-of-cancer-therapies-therapy-induced-comorbidities-across-the-lifes,Senescent fibroblast SASP drives chemotherapy‑induced peripheral neuropathy and can be reversed by senolytics or MK2 inhibition,Dr. Limoli,"University of California, Irvine",academic_pi,,preclinical,immunotherapy; combination_therapy; translational; basic_science; other,first_in_class,"Chemotherapy (paclitaxel) induces p16‑positive senescent fibroblasts in peripheral skin; these cells secrete a SASP regulated by MK2 kinase that causes epidermal denervation and behavioral neuropathy. Genetic ablation of p16‑positive cells or pharmacologic senolysis (dasatinib + quercetin) or MK2 inhibition eliminates the SASP, restores innervation and reverses numbness/pain in mice.","Paclitaxel treatment increased p16 mRNA and protein in peripheral skin but not in dorsal root ganglia or sciatic nerve. | Senescent fibroblasts (p16‑positive, SA‑β‑gal+) accumulated in the skin and were eliminated by inducible suicide gene activation. | Elimination of senescent cells prevented paclitaxel‑induced epidermal denervation and restored normal Von Frey thresholds. | Senolytic treatment (dasatinib + quercetin) after neuropathy onset re‑innervated epidermis and normalized paw thresholds, reversing pain. | Fibroblast‑specific MK2 knockout abolished the neuropathic phenotype despite persistence of senescent cells, implicating MK2‑driven SASP as the effector. | Human skin biopsies from three CIPN patients showed increased p16 and senescent fibroblast markers, mirroring mouse findings.",2,0,2,,,,
the-dark-side-of-cancer-therapies-therapy-induced-comorbidities-across-the-lifes::hudson::2,the-dark-side-of-cancer-therapies-therapy-induced-comorbidities-across-the-lifes,"Long‑term morbidity and mortality in childhood cancer survivors: prevalence, frailty, and socioeconomic impacts",Melissa Hudson,St. Jude Children’s Research Hospital,academic_pi,,unspecified,clinical_trial; epidemiology; other,clinical_validation_of_known,"Large‑scale survivorship cohort analyses reveal that treatment‑related exposures (radiation, alkylators, surgery) and socioeconomic deprivation synergistically drive multimorbidity, frailty, and excess mortality in adult survivors of childhood cancer, with genetic predisposition (pathogenic germline variants) further increasing risk of subsequent neoplasms.","By age 40, childhood cancer survivors have a 25% excess mortality relative to the US population. | More than 90% of survivors develop at least one chronic health condition; 85% of those are serious, disabling, or life‑threatening. | Survivors accrue an average of 17 chronic conditions by age 50, including ~5 severe conditions. | Frailty prevalence in survivors aged 18‑50 matches that of general adults >65 yr; frailty confers a 2.6‑fold higher risk of early death. | Whole‑genome sequencing identified pathogenic germline variants in 6% of survivors, associated with increased risk of second neoplasms. | Financial hardship is pervasive: 22% report material hardship, 51% psychological hardship, and 33% behavioral hardship, correlating with higher anxiety, depression, and suicidal ideation.",0,7,0,excess mortality,≈25% by age 40 compared with US population,"n≈2,800 survivors",childhood cancer survivors
the-epitranscriptome-in-cancer-modifying-rna-to-shape-the-future-of-oncology::krance::1,the-epitranscriptome-in-cancer-modifying-rna-to-shape-the-future-of-oncology,Functional significance of YTHDF m6A readers in AML and multiple myeloma,Kamil Krance,"Institute of Cancer Research, London, Hemato‑Oncology",academic_pi,acute myeloid leukemia; multiple myeloma,preclinical,basic_science; translational; combination_therapy; epigenetics,clinical_validation_of_known,"YTHDF2 and YTHDF3 are cytosolic m6A readers that promote decay of methylated transcripts such as TNFRSF1B; genetic deletion stabilizes these transcripts, leading to heightened TNF‑mediated apoptosis and loss of leukemic stem cell activity in AML. Parallel loss of YTHDF3 impairs ribosomal biogenesis and translation of M6A‑modified mRNAs, reducing leukemic proliferation and sensitizing cells to cytarabine. Normal hematopoiesis remains largely intact, indicating a therapeutic window for targeting these readers.","YTHDF2 is overexpressed in AML across sub‑genetic subtypes and correlates with leukemic stem cell activity. | YTHDF2 knockout or knockdown abolishes colony formation of AML cells in vitro and markedly extends latency in mouse transplantation models. | Loss of YTHDF2 stabilizes TNFRSF1B mRNA, increasing surface TNFR2 and rendering AML cells highly sensitive to exogenous TNF (apoptosis observed). | YTHDF3 deletion reduces leukemic stem cell frequency in limiting‑dilution assays and impairs engraftment of THP‑1 cells in liver PDX models. | YTHDF3 knockdown sensitizes AML cells to Ara‑C, decreasing the Ara‑C IC50 (exact values not disclosed). | Inducible YTHDF2 tryptophan‑to‑alanine (WA) mutant recapitulates knockout phenotypes, confirming the M6A‑binding pocket is essential for function. | A prototype small‑molecule YTHDF inhibitor (IC50 ≈ 11 µM) suppresses AML colony formation in a dose‑dependent manner, with partial rescue by YTHDF knockdown.",4,0,3,,,,
the-epitranscriptome-in-cancer-modifying-rna-to-shape-the-future-of-oncology::he::2,the-epitranscriptome-in-cancer-modifying-rna-to-shape-the-future-of-oncology,YTHDF2 and YTHDC1 in tumor immunity and chromatin regulation of plastic cancers,Chuan He,"University of Chicago, Department of Chemistry, Howard Hughes Medical Investigator",academic_pi,neuroendocrine prostate cancer; small cell lung cancer; acute myeloid leukemia,preclinical,tumor_microenvironment; immunotherapy; epigenetics; basic_science; translational; platform_technology,platform_technology,"YTHDF2 promotes decay of M6A‑modified transcripts in myeloid‑derived suppressor cells, enhancing their immunosuppressive function after radiation; its loss stabilizes anti‑inflammatory RNAs, reduces MDSC migration, and synergizes with radiation and anti‑PD‑L1 to boost CD8⁺ T‑cell activity. YTHDC1 binds M6A‑modified promoter and enhancer RNAs (including LTR elements) in solid tumors, recruiting SETD1A/YY1 to open chromatin and drive transcription of lineage‑plastic, proliferative programs; inhibition of YTHDC1 collapses this transcriptional program and depletes cycling tumor cells.","YTHDF2 knockout in MDSCs diminishes their suppressive capacity, reduces IL‑10 production, and enhances CD8⁺ T‑cell infiltration after irradiation. | Combining YTHDF2 loss with radiation and anti‑PD‑L1 yields synergistic tumor control in mouse models, dependent on CD8⁺ T cells. | YTHDC1 inhibition (tool compound) markedly reduces viability of neuroendocrine prostate and small‑cell lung cancer cells in vitro and suppresses tumor growth in PDX models. | Loss of YTHDC1 leads to global chromatin closing (reduced DNase I signal, lower H3K27ac/H3K4me3) and down‑regulation of ~6,000 genes linked to LTR‑derived promoter RNAs. | Proteomics identifies SETD1A and YY1 as YTHDC1 interactors mediating transcriptional activation at open chromatin sites. | Single‑cell sequencing after YTHDC1 inhibition shows depletion of the cycling tumor cell population while non‑cycling cells persist.",3,0,3,,,,
the-impact-of-lifestyle-diet-and-the-microbiome-on-cancer-onset-and-spread::valston::1,the-impact-of-lifestyle-diet-and-the-microbiome-on-cancer-onset-and-spread,Precision diets targeting serine/glycine metabolism and combination with PHGDH inhibition,Karen Valston,"University of California, San Diego, Department of Molecular Medicine",academic_pi,lung cancer; pancreatic ductal adenocarcinoma; breast cancer; colorectal cancer,preclinical,metabolism; tumor_microenvironment; combination_therapy; resistance_mechanisms; basic_science,platform_technology,"Limiting dietary serine and glycine reduces circulating one‑carbon metabolites, impairing nucleotide synthesis and antioxidant capacity in tumor cells, which slows growth in serine‑dependent GEM and organoid models. Tumors that up‑regulate de novo serine synthesis via PHGDH become resistant, but combined PHGDH inhibition restores sensitivity, especially when paired with radiotherapy that induces ROS.","Serine/glycine‑free diet reduced tumor growth and metastasis in KRAS/LKB1 lung and KRAS/p53 pancreatic GEM models (p<0.01). | Combination of serine/glycine restriction with radiotherapy markedly increased tumor cell death compared with either modality alone (p<0.001). | PHGDH‑amplified tumors were resistant to dietary serine depletion, but addition of a PHGDH inhibitor restored tumor growth inhibition (tumor volume reduction 45%, p<0.01). | CRISPR dropout identified folate transporter as a synthetic lethal partner with serine/glycine depletion; knockdown abolished growth of resistant organoids. | Mice on serine/glycine‑free diet showed transient weight loss but no organ toxicity; cachexia markers GDF15 and IL6 were significantly lower (GDF15 ↓30%, IL6 ↓25%).",2,0,2,,,,
the-impact-of-lifestyle-diet-and-the-microbiome-on-cancer-onset-and-spread::fabreo::2,the-impact-of-lifestyle-diet-and-the-microbiome-on-cancer-onset-and-spread,Exercise‑derived extracellular vesicles suppress breast cancer metastasis via MTSS1 and NME2,Mark Fabreo,"Monash University, Department of Oncology",academic_pi,breast cancer,preclinical,exercise; tumor_microenvironment; metastasis; extracellular_vesicles; basic_science; platform_technology,first_in_class,"Voluntary exercise increases the number and protein cargo of circulating small extracellular vesicles. Proteomic profiling identified MTSS1 and NME2 as enriched in exercise EVs; these proteins suppress EMT‑associated pathways, reducing breast cancer cell migration and metastasis when delivered via EVs, recapitulating the anti‑tumor effect of physical activity.","Mice with voluntary wheel access ran ~7 km/night and showed ~35% reduction in primary tumor volume compared with locked‑wheel controls (p<0.01). | Metastatic lesions were reduced by >70% in running mice; mice running >6.5 km/day had the greatest metastasis‑free survival (p<0.001). | Exercise‑derived EVs injected into non‑running tumor‑bearing mice reproduced the tumor‑suppressive effect (tumor volume ↓30%, p<0.01). | Proteomic analysis identified 322 proteins significantly up‑regulated in exercise EVs; MTSS1 and NME2 were selected as anti‑metastatic candidates. | Overexpression of MTSS1 or NME2 in 41.2 cells inhibited migration in scratch assays by 50%–60% (p<0.001).",2,0,1,,,,
the-impact-of-lifestyle-diet-and-the-microbiome-on-cancer-onset-and-spread::song::3,the-impact-of-lifestyle-diet-and-the-microbiome-on-cancer-onset-and-spread,Diet‑microbiome interactions in colorectal cancer prevention and the coffee‑microbiome trial,Minyang Song,"Harvard T.H. Chan School of Public Health, Department of Nutrition",academic_pi,colorectal cancer,unspecified,microbiome; diet; epidemiology; prevention; early_detection; clinical_trial,clinical_validation_of_known,"Diet shapes gut microbial composition; unhealthy diets enrich CRC‑associated taxa (Fusobacterium, Bacteroides) while healthy diets promote butyrate‑producing microbes. Coffee consumption strongly enriches Lawsonia intracellularis, altering microbial metabolites and plasma metabolome, which is associated with improved survival in CRC patients.","Microbiome changes are modest in incident polyps (AUC 0.52) but become pronounced in prevalent polyps (AUC 0.67) and strongest in established CRC (AUC 0.85). | A CRC‑microbial diet score derived from CRC‑associated microbes correlates positively with Western diet (r=0.62) and inversely with prudent diet (r=‑0.58). | Higher CRC‑microbial diet score is associated with increased colon cancer risk after multivariable adjustment (HR 1.34 per SD, p=0.004). | Coffee intake after CRC diagnosis is linked to a 30% reduction in mortality (HR 0.70, 95% CI 0.55‑0.89) independent of caffeine content. | Coffee consumption is the strongest single dietary factor predicting a distinct microbiome signature, driven by enrichment of Lawsonia intracellularis.",0,2,0,overall_survival,HR 0.65,n=80,Stage I‑III colorectal cancer patients
the-making-of-cancer-from-cellular-events-to-systemic-diseasebreakthrough-discov::stratton::1,the-making-of-cancer-from-cellular-events-to-systemic-diseasebreakthrough-discov,Mutational signatures reveal hidden mutagenic and promoter exposures across cancers,Sir Mike Stratton,"Wellcome Sanger Institute, Senior Group Leader",academic_pi,esophageal squamous carcinoma; renal clear cell cancer; colorectal cancer,preclinical,basic_science; genomics; mutational_signatures; epidemiology; cancer_genomics,first_in_class,"Stratton described how whole-genome sequencing enables extraction of mutational signatures that act as permanent footprints of past carcinogen exposures, revealing both known mutagens (tobacco, aristolochic acids, colibactin) and many silent promoter agents that drive clonal expansion without increasing point mutation burden.","Esophageal squamous carcinoma shows 10-20-fold geographic incidence variation but no distinct mutational signature, suggesting non‑mutagenic promoters drive risk. | Renal clear cell cancer in SE Europe harbors SBS22A/B signatures linked to aristolochic acid exposure in ~70% of cases. | A novel SBS12 signature is found exclusively in Japan, cause unknown. | Colorectal cancer early‑onset cases have >30% prevalence of SBS88 (colibactin) signature, present in normal colon of ~40% of UK children. | Only 3 of 20 tested carcinogens produced mutational signatures in mouse tumors; the rest act as promoters/selectogens.",4,0,0,,,,
the-making-of-cancer-from-cellular-events-to-systemic-diseasebreakthrough-discov::balmain::2,the-making-of-cancer-from-cellular-events-to-systemic-diseasebreakthrough-discov,Promotion and selectogen mechanisms in tumor initiation and clonal competition,Alan Balmain,"University of California, San Francisco, Professor",academic_pi,skin papilloma (mouse model),preclinical,basic_science; cancer_promoters; clonal_competition; mouse_models,first_in_class,"Balmain demonstrated that a single mutagenic initiation event (DMBA‑induced HRAS Q61L) remains dormant for months, and promotion by TPA selects specific mutant clones (HRAS Q61L) to expand into tumors, while many spontaneous RAS mutations expand transiently but are eliminated unless HRAS is absent, highlighting clonal competition and promoter selectivity.","DMBA induces a permanent HRAS Q61L initiation mutation that can remain silent for a year before promotion triggers rapid tumor formation. | Only HRAS Q61L clones persist and give tumors after TPA promotion; other RAS mutants expand transiently then disappear. | In HRAS knockout mice, KRAS G13R clones, normally non‑tumorigenic, give rise to tumors under TPA promotion. | Promoter agents can act without increasing point‑mutation burden, supporting the selectogen concept.",3,0,0,,,,
the-making-of-cancer-from-cellular-events-to-systemic-diseasebreakthrough-discov::kochowski::3,the-making-of-cancer-from-cellular-events-to-systemic-diseasebreakthrough-discov,Epigenetic‑oncogenic cooperation reveals tissue‑specific therapeutic vulnerabilities,Karen Kochowski,"Harvard Medical School / Brigham and Women's Hospital, Professor",academic_pi,triple-negative breast cancer; colorectal cancer; prostate cancer; HER2‑positive breast cancer,preclinical,epigenetics; targeted_therapy; combination_therapy; preclinical; cancer_vulnerabilities,best_in_class,"Kochowski showed that simultaneous inhibition of EZH2 (PRC2) and oncogenic signaling (AKT, KRAS, PTEN, HER2) forces tumor cells into a differentiated, luminal‑like state via GATA3 induction and triggers an involution‑like apoptotic program mediated by JAK1‑STAT3‑BMF, leading to robust tumor regression in multiple tissue contexts.","EZH2 + AKT inhibition kills ~60% of TNBC models synergistically, with no single‑agent activity. | Combination induces GATA3, shifts cells to mature luminal phenotype, and suppresses basal/stem markers. | BMF is the top up‑regulated pro‑apoptotic gene; its knockout blocks tumor regression. | Predictive transcriptional signature (basal vs mesenchymal) separates sensitive from resistant TNBC lines. | Similar EZH2‑RAS or EZH2‑AKT combos are effective in KRAS‑mutant colorectal, PTEN‑null prostate, and HER2‑positive breast cancers, each exploiting tissue‑specific differentiation pathways.",5,0,4,,,,
the-making-of-cancer-from-cellular-events-to-systemic-diseasebreakthrough-discov::white::4,the-making-of-cancer-from-cellular-events-to-systemic-diseasebreakthrough-discov,Mechanistic dissection of cancer cachexia: brain‑tumor communication and metabolic drivers,Eileen White,"Rutgers Cancer Institute / Princeton University, Deputy Director",academic_pi,pancreatic ductal adenocarcinoma; lung cancer; colorectal cancer; breast cancer,preclinical,cancer_cachexia; tumor_microenvironment; metabolism; neurobiology; clinical_trial; translational,clinical_validation_of_known,"White described how tumor‑derived cytokines (IL‑6, GDF15) act on distinct brain circuits to suppress appetite and induce apathy, while metabolic reprogramming in cachectic mice diverts tryptophan toward the kynurenine pathway, lowering serotonin and driving depression; pharmacologic restoration of serotonin improves mood but does not reverse muscle/fat wasting, indicating separable mechanisms.","High‑fat diet worsens cachexia in mouse models via tumor‑derived prostaglandin E2 signaling through the vagus nerve. | Cachectic mice exhibit low serotonin and high kynurenine; SSRI treatment restores serotonin and improves depressive‑like behavior without affecting weight loss. | Two cachexia subtypes identified in patients: inflamed (high GDF15, IL‑6, severe symptoms, poorer survival) vs non‑inflamed (weight loss without systemic inflammation). | Longitudinal patient data reveal dynamic weight trajectories; some patients cycle between loss and stabilization. | Brain‑tumor communication pathways (GDF15‑GFRA1, IL‑6‑dopamine suppression) are key drivers of appetite loss and apathy.",4,2,2,Inflammatory biomarker levels,GDF15 median 2.5‑fold higher in red subtype vs orange,n=150 cachectic patients,inflamed cachexia subtype
the-necrotic-tumor-microenvironment-as-an-instigator-of-metastatic-aggression-an::drover::1,the-necrotic-tumor-microenvironment-as-an-instigator-of-metastatic-aggression-an,Neutrophil extracellular traps drive tumor necrosis and metastasis,Jose Drover,"Cancer Macroenvironment Lab, Francis Crick Institute",academic_pi,lung cancer; breast cancer; colorectal cancer,preclinical,immunotherapy; tumor_microenvironment; metastasis; basic_science,first_in_class,"Tumor-derived signals induce a myeloid skew producing LY6C-low vascular-restricted neutrophils that aggregate in tumor vessels, form NETs, occlude perfusion, create downstream hypoxia and necrosis, and promote perinecrotic tumor cell EMT and metastasis.","Tumors induce LY6C‑low neutrophils that are restricted to the vasculature and form abundant NETs. | Neutrophil aggregates block vessel perfusion, leading to downstream hypoxia and necrosis in mouse tumor models. | Genetic or pharmacologic inhibition of NET formation (disulfiram, DNase I, platelet‑neutrophil interaction blockade) reduces tumor necrosis and lung metastasis. | Perinecrotic tumor cells upregulate hypoxia, EMT, and TGF‑β pathways, enhancing metastatic traits.",1,0,2,,,,
the-necrotic-tumor-microenvironment-as-an-instigator-of-metastatic-aggression-an::fontaine::2,the-necrotic-tumor-microenvironment-as-an-instigator-of-metastatic-aggression-an,Ischemic tumor regions reprogram macrophage metabolism to suppress T‑cell killing,Carlos Camona Fontaine,NYU,academic_pi,melanoma,preclinical,immunotherapy; tumor_microenvironment; metabolism; basic_science,first_in_class,"In ischemic tumor regions, macrophages upregulate arginase‑1, diverting ornithine into polyamine synthesis; excess polyamines are secreted as N1‑acetylspermidine, which tumor cells convert via PAOX to a metabolite that impairs antigen‑specific T‑cell cytotoxicity without altering MHC‑I expression.",Ischemic macrophages express high ARG1 and secrete N1‑acetylspermidine. | N1‑acetylspermidine suppresses antigen‑specific T‑cell killing of tumor cells in vitro. | PAOX in tumor cells is required for the immunosuppressive effect; PAOX knockout restores T‑cell killing. | Adoptive transfer of antigen‑specific T cells dramatically reduces growth of PAOX‑deficient tumors.,2,0,1,,,,
the-necrotic-tumor-microenvironment-as-an-instigator-of-metastatic-aggression-an::chung::3,the-necrotic-tumor-microenvironment-as-an-instigator-of-metastatic-aggression-an,Tumor‑derived angiopoietin‑like 7 drives necrotic core formation and metastatic dissemination,Kevin Chung,"Fred Hutchinson Cancer Center, Seattle",session_chair_with_data,breast cancer; triple‑negative breast cancer; rat 4T1 model,preclinical,metastasis; tumor_microenvironment; vascular_biology; basic_science,first_in_class,"Tumor cells upregulate ANGPTL7 in necrotic cores, promoting dilated intratumoral vessels, neutrophil NET formation, and TGF‑β enrichment, which together facilitate perinecrotic tumor cell EMT and release of CTC clusters.","Necrotic core size in rat 4T1 tumors spikes between days 22‑27 and correlates with acute CTC surge. | Tumor‑derived ANGPTL7 is highly expressed in necrotic cores; knockdown reduces necrosis, dilated vessels, CTC clusters, and lung metastasis. | ANGPTL7 knockout lowers total TGF‑β and pSMAD signaling in tumors, shifting macrophage polarization toward inflammatory phenotype. | Human breast cancer analysis shows reparative necrosis changes (distinct from coagulative necrosis) predict poor survival, especially with lymphovascular invasion.",1,2,1,CTC count,up to 1000 per ml,n=1 patient example,triple‑negative breast cancer patient
the-role-of-mrna-translation-reprogramming-in-cancer::topisirovic::1,the-role-of-mrna-translation-reprogramming-in-cancer,Translational rheostat driven by 4E‑BP1 regulates cancer metastasis,Ivan Topisirovic,"McGill University, Canada",academic_pi,breast cancer,preclinical,translation; basic_science; tumor_microenvironment; metastasis; translational,first_in_class,"Loss of 4E‑BP1 suppresses breast cancer metastasis by reducing translation of weak mRNAs such as pannexin‑1; paradoxically, 4E‑BP1 activation promotes early metastatic steps (invasion, anoikis resistance) through a Goldilocks level of mTORC1 signaling that selectively up‑regulates translation of long 5'‑UTR, uORF‑rich transcripts.","4E‑BP1 double knockout mice crossed with polyoma middle T breast cancer showed larger primary tumors but dramatically reduced lung metastases compared with wild‑type controls. | Re‑expression of 4E‑BP1 rescued metastatic potential, whereas a constitutively active 4E‑BP1‑4A mutant failed to do so, indicating that precise mTORC1‑mediated tuning of 4E‑BP1 is required. | 4E‑BP1‑proficient cells displayed increased invasion and anoikis resistance in vitro, while tail‑vein injection showed no difference in outgrowth, pinpointing early metastatic steps as the affected stage. | Translatome analysis revealed that 4E‑BP1‑dependent up‑regulated mRNAs have longer 5'‑UTRs and more upstream open reading frames, exemplified by pannexin‑1 protein increase without RNA level change. | Serum‑dose and mTOR inhibitor titration experiments demonstrated a biphasic “Goldilocks” response where intermediate mTORC1 activity maximized pannexin‑1 translation, whereas strong inhibition reduced invasion.",2,0,0,,,,
the-role-of-mrna-translation-reprogramming-in-cancer::larsson::2,the-role-of-mrna-translation-reprogramming-in-cancer,tRNA U34 modification by ELP3 shapes cancer proteome via dicodon regulation,Olle Larsson,"Karolinska Institute, Sweden",academic_pi,breast cancer; prostate cancer,preclinical,translation; basic_science; tRNA_modification; elongation; proteomics; computational_modeling,platform_technology,"ELP3‑mediated U34 modification of a subset of tRNAs enhances elongation of codons requiring these modified tRNAs; loss of ELP3 causes ribosome stalling on dicodons that pair a U34‑dependent codon with a neighboring codon, leading to reduced protein output of cell‑cycle genes despite increased polysome association.","CRISPR‑mediated loss of ELP3 reduces U34 tRNA modification and impairs proliferation of transformed but not non‑transformed cells. | Proteomics showed down‑regulation of many proteins despite higher polysome association, indicating elongation blockade. | Dicodon analysis (PosNet) explained ~30% of translational regulation, double the ~15% explained by single‑codon usage alone. | Six specific dicodons containing a U34‑dependent codon were enriched in down‑regulated proteins; closer spacing of dicodons correlated with stronger repression. | mRNAs enriched for these dicodons also possessed longer 5'‑UTRs and lower initiation efficiency, linking initiation and elongation control. | Knockdown of ELP3 increased mitotic defects and activated the integrated stress response (eEF2α‑P, ATF4) without rescuing protein output.",1,0,0,,,,
the-role-of-mrna-translation-reprogramming-in-cancer::ruggiero::3,the-role-of-mrna-translation-reprogramming-in-cancer,Selective translation of CaMK2D drives drug tolerance and metastasis in ER‑positive breast cancer,Davide Ruggiero,"UCSF, USA",academic_pi,breast cancer,preclinical,translation; drug_tolerance; metastasis; RNA_binding_protein; eIF4A; clinical_trial; targeted_therapy; combination_therapy,first_in_class,"ERα binds the 3'‑UTR of CaMK2D mRNA while eIF4A engages a structured 5'‑UTR G‑quadruplex; this looping enhances translation of CaMK2D during drug‑tolerant states, driving calcium‑dependent survival, invasion and metastasis, which can be blocked by calcium channel inhibition (verapamil) or eIF4A inhibition (zotatifin).","Therapy‑surviving cells (TSC) exposed to high‑dose fulvestrant up‑regulate translation of CaMK2D without changes in mRNA levels, as shown by ribosome profiling and proteomics. | CaMK2D protein, but not its mRNA, correlates with poor prognosis in a 400‑patient ER‑positive breast cancer cohort. | ERα directly binds the 3'‑UTR of CaMK2D; loss of this RNA‑binding activity reduces TSC formation, which can be rescued by CaMK2D overexpression. | eIF4A interacts more strongly with ERα in tamoxifen‑resistant cells; eIF4A inhibition by zotatifin suppresses CaMK2D translation and eliminates TSCs in vitro and in PDX models. | Combination of fulvestrant with verapamil or zotatifin markedly delays tumor regrowth and prevents metastasis to liver and brain in mouse models, whereas single agents show modest effects. | Knockdown of CaMK2D abolishes the metastatic capability of TSCs in tail‑vein injection assays.",3,2,2,tumor growth inhibition,70% reduction,n=8 mice,PDX treated with fulvestrant + zotatifin
therapeutic-advances-in-adcs::lee::1,therapeutic-advances-in-adcs,Phase 1 trial of trastuzumab deruxtecan (DS-8201A) plus olaparib in HER2‑expressing advanced solid tumors,Dr. Elizabeth Lee,Dana-Farber Cancer Institute,academic_pi,endometrial cancer; ovarian cancer,phase_1,ADC; combination_therapy; DNA_damage_repair; targeted_therapy; clinical_trial,platform_technology,"Trastuzumab deruxtecan delivers a potent exatecan TOP1‑inhibitor payload to HER2‑expressing tumor cells; concurrent PARP inhibition with olaparib blocks repair of TOP1‑DNA cleavage complexes, enhancing DNA damage and tumor cell death while staggered dosing reduces systemic hematologic toxicity.",Objective response rate of 54% (confirmed ORR 46%) observed in 28 heavily pre‑treated HER2‑positive endometrial and ovarian cancer patients. | Clinical benefit rate reached 67% with median duration of response 11.2 months. | Staggered (gap) olaparib schedule (days 8‑14) was feasible and reduced Grade 3‑4 hematologic toxicities compared with continuous olaparib dosing. | Six‑month PFS estimated at 88.2% and median PFS 15.2 months despite median of 3.5 prior therapy lines. | Pneumonitis occurred in 7 patients (all low‑grade) and was not dose‑dependent.,2,7,1,ORR (objective response rate),54%,n=28,all enrolled patients
therapeutic-advances-in-adcs::jian::2,therapeutic-advances-in-adcs,"First‑in‑human study of SOS 6010, an EGFR‑targeted ADC, in advanced nasopharyngeal carcinoma",Dr. Jian,"CSPC Pharmaceutical Group, China",industry_presenter,nasopharyngeal carcinoma,phase_1,ADC; targeted_therapy; clinical_trial,first_in_class,"SOS 6010 is a humanized IgG1 ADC that binds EGFR, is internalized, and releases a high‑potency, membrane‑permeable TOP1‑inhibitor payload (GS1) via a cleavable linker, causing DNA damage and tumor cell death, with a by‑stander effect in EGFR‑negative cells.","Overall ORR of 31.5% in heavily pre‑treated NPC, with higher response at the 4.8 mg/kg dose (36.6%). | Median PFS of 7.5 months and median OS of 14.9 months (4.2 mg/kg cohort; OS not reached at 4.8 mg/kg). | Grade 3+ hematologic toxicities were the most common adverse events, but treatment discontinuation was low. | No clear correlation between baseline EGFR expression level and response, suggesting a possible by‑stander effect.",1,6,1,ORR (overall response rate),31.5%,n=54 evaluable patients,All NPC patients
therapeutic-advances-in-adcs::zhu::3,therapeutic-advances-in-adcs,"First‑in‑human Phase 1 study of QLS‑5132, a claudin‑6‑targeting ADC, in platinum‑resistant ovarian cancer",Dr. Tao Zhu,"Zhejiang Cancer Hospital, Hangzhou, China",academic_pi,ovarian cancer,phase_1,ADC; targeted_therapy; clinical_trial,first_in_class,"QLS‑5132 couples a humanized anti‑claudin‑6 antibody to a TOP1‑inhibitor payload via a stable hydrazone linker (DAR 8); selective binding to claudin‑6‑positive tumor cells leads to internalization and release of the payload, causing DNA damage and tumor regression with a therapeutic window due to minimal normal tissue expression of claudin‑6.","Confirmed ORR of 55.6% at the 4.8 mg/kg dose in platinum‑resistant ovarian cancer. | Median relative dose intensity 99.8% and PK exposure increased proportionally from 1.6 to 6.4 mg/kg. | Grade 3+ adverse events occurred in 32.1% of patients; most were mild/moderate GI or hematologic toxicities. | Responses were observed even in two patients with undetectable CLDN6 expression, suggesting possible by‑stander effect.",1,4,1,ORR (overall response rate) across all dose levels,15%,n=28,All PROC patients
therapeutic-advances-in-adcs::zhong::4,therapeutic-advances-in-adcs,ARTEMIS‑101: Phase 1 study of REVSYBOO (B7‑H3 ADC) plus atezolizumab in pre‑treated non‑squamous NSCLC,Dr. Runbo Zhong,Shanghai Chest Hospital,academic_pi,non‑small cell lung cancer,phase_1,ADC; immunotherapy; combination_therapy; clinical_trial,first_in_class,"Tagretucumab (REVSYBOO) is a B7‑H3‑directed ADC delivering a tropomodulin‑1 TOP1 inhibitor via a protease‑cleavable linker (DAR 4); combined with atezolizumab, PD‑L1 blockade may enhance anti‑tumor immunity while the ADC induces DNA damage in B7‑H3‑positive tumor cells.","Confirmed ORR of 47.1% (n=34) with median PFS of 14 months in heavily pre‑treated NSCLC. | Efficacy observed across B7‑H3 expression levels and irrespective of prior immunotherapy exposure. | Grade 3+ TRAEs occurred in 70% of patients, predominantly hematologic; ILD was low‑grade and infrequent. | 12‑month PFS rate of 67.7% exceeds historical benchmarks for second‑line docetaxel or REVSYBOO monotherapy.",2,6,1,Confirmed ORR,47.1%,n=34 efficacy‑evaluable,Pre‑treated non‑squamous NSCLC
