talk_id,speaker_name,affiliation,session_title,tumor_types,clinical_stage,metric,value,confidence_interval,n,population,comparator,maturity
minisymposium-late-breaking-research::wolpin::6,Dr. Wolpin,Revolution Medicines,minisymposium-late-breaking-research,pancreatic ductal adenocarcinoma,phase_1,Grade ≥3 rash,10‑15%,,n=40,treatment‑related AEs,,interim
minorities-in-cancer-research-scientific-symposium-ancestry-informed-precision-o::jordan::2,King Jordan,Georgia Institute of Technology,minorities-in-cancer-research-scientific-symposium-ancestry-informed-precision-o,breast cancer; head and neck squamous cell carcinoma; kidney cancer; skin cancer,mixed,hazard ratio,HR 1.45,95% CI 1.12‑1.88,"n=5,200 breast cancer patients",African ancestry vs European ancestry breast cancer,,secondary_endpoint
minorities-in-cancer-research-scientific-symposium-ancestry-informed-precision-o::yates::3,Clayton Yates,Johns Hopkins School of Medicine,minorities-in-cancer-research-scientific-symposium-ancestry-informed-precision-o,prostate cancer,phase_2,prediction accuracy,78.2%,,n=150 African ancestry patients,"prostate cancer, treatment‑naïve",,interim
minorities-in-cancer-research-scientific-symposium-ancestry-informed-precision-o::yates::3,Clayton Yates,Johns Hopkins School of Medicine,minorities-in-cancer-research-scientific-symposium-ancestry-informed-precision-o,prostate cancer,phase_2,combined model accuracy,90%,,n=150 African ancestry patients,"prostate cancer, treatment‑naïve",,interim
modifiers-of-inflammation-and-the-tumor-microenvironment::ruane::2,Matthew Ruane,"Columbia University, Department of Microbiology and Immunology",modifiers-of-inflammation-and-the-tumor-microenvironment,bladder cancer,preclinical,cure rate,50%,,unspecified,MB49 orthotopic mice receiving bacteria + anti‑PD‑1,anti‑PD‑1 alone (25% cure),primary_endpoint_met
modifiers-of-inflammation-and-the-tumor-microenvironment::ma::4,Liam Ma,"University of Pennsylvania, Departments of Pathology, Laboratory Medicine and Bioengineering",modifiers-of-inflammation-and-the-tumor-microenvironment,pancreatic ductal adenocarcinoma; melanoma; breast cancer,preclinical,tumor regression within 24 h,~70%,,n=5 mice per model,"orthotopic PDAC, melanoma, and breast cancer bearing mice",no vaccine or mismatched vaccine,primary_endpoint_met
modifiers-of-inflammation-and-the-tumor-microenvironment::may::5,Audrey May,"Stanford University School of Medicine, Lab of Crystal Mackall",modifiers-of-inflammation-and-the-tumor-microenvironment,melanoma; pancreatic ductal adenocarcinoma; breast cancer,preclinical,tumor clearance,~60%,,n=10 mice,heterogeneous B16 tumors treated with IL‑18 CAR T cells,"IL‑36, FLT3‑L CARs or CAR‑only controls",primary_endpoint_met
multi-kingdom-microbial-determinants-of-cancer::roe::2,Dr. Caleb La Roe,Memorial Sloan Kettering Cancer Center,multi-kingdom-microbial-determinants-of-cancer,lymphoma; lung cancer; nasopharyngeal carcinoma,preclinical,EBV DNA high‑level prevalence,9–12%,,"n≈900,000 total across biobanks",general adult population,,interim
multi-kingdom-microbial-determinants-of-cancer::roe::2,Dr. Caleb La Roe,Memorial Sloan Kettering Cancer Center,multi-kingdom-microbial-determinants-of-cancer,lymphoma; lung cancer; nasopharyngeal carcinoma,preclinical,GWAS loci associated with EBV persistence,45 loci,,"n≈400,000 European ancestry",high EBV DNA carriers vs low carriers,,primary_endpoint_met
multi-kingdom-microbial-determinants-of-cancer::roe::2,Dr. Caleb La Roe,Memorial Sloan Kettering Cancer Center,multi-kingdom-microbial-determinants-of-cancer,lymphoma; lung cancer; nasopharyngeal carcinoma,preclinical,Phenotype association odds ratio (example autoimmune),significant enrichment (p<0.05),,"n≈400,000",high EBV DNA carriers,low EBV DNA carriers,exploratory
multi-modal-platforms-for-early-cancer-detection::taylor::1,Martin Taylor,"Brown University, Department of Pathology",multi-modal-platforms-for-early-cancer-detection,colorectal cancer; gastric cancer; head and neck squamous cell carcinoma; ovarian cancer; pancreatic cancer; esophageal cancer; gastroesophageal cancer; colon adenoma; STIC lesions; breast cancer,mixed,specificity (healthy controls),99.0%,,n=406,healthy plasma,,interim
multi-modal-platforms-for-early-cancer-detection::taylor::1,Martin Taylor,"Brown University, Department of Pathology",multi-modal-platforms-for-early-cancer-detection,colorectal cancer; gastric cancer; head and neck squamous cell carcinoma; ovarian cancer; pancreatic cancer; esophageal cancer; gastroesophageal cancer; colon adenoma; STIC lesions; breast cancer,mixed,sensitivity (cancer overall),≈50%,,n≈600,cancer patients across tumor types,,interim
multi-modal-platforms-for-early-cancer-detection::taylor::1,Martin Taylor,"Brown University, Department of Pathology",multi-modal-platforms-for-early-cancer-detection,colorectal cancer; gastric cancer; head and neck squamous cell carcinoma; ovarian cancer; pancreatic cancer; esophageal cancer; gastroesophageal cancer; colon adenoma; STIC lesions; breast cancer,mixed,sensitivity (early‑stage ovarian cancer),83%,,n=6 early stage,early‑stage ovarian cancer,,interim
multi-modal-platforms-for-early-cancer-detection::taylor::1,Martin Taylor,"Brown University, Department of Pathology",multi-modal-platforms-for-early-cancer-detection,colorectal cancer; gastric cancer; head and neck squamous cell carcinoma; ovarian cancer; pancreatic cancer; esophageal cancer; gastroesophageal cancer; colon adenoma; STIC lesions; breast cancer,mixed,AUC improvement (ORF1p added to CA125+HE4),0.98 vs 0.94,,n=100 (50 ovarian cancer + 50 healthy),ovarian cancer detection,CA125+HE4 alone,interim
multi-modal-platforms-for-early-cancer-detection::taylor::1,Martin Taylor,"Brown University, Department of Pathology",multi-modal-platforms-for-early-cancer-detection,colorectal cancer; gastric cancer; head and neck squamous cell carcinoma; ovarian cancer; pancreatic cancer; esophageal cancer; gastroesophageal cancer; colon adenoma; STIC lesions; breast cancer,mixed,response monitoring separation,p<0.001,,n=19 gastroesophageal patients,responders vs non‑responders,,interim
multi-modal-platforms-for-early-cancer-detection::dang::2,Qi Dang,University of Texas MD Anderson Cancer Center,multi-modal-platforms-for-early-cancer-detection,lung cancer; pancreatic cancer; ovarian cancer; melanoma; renal cell carcinoma; hepatocellular carcinoma,unspecified,AUC (p53 autoantibody + CA125 vs CA125 alone),improved (exact value not specified),,n not specified,ovarian cancer patients,CA125 alone,interim
multi-modal-platforms-for-early-cancer-detection::dang::2,Qi Dang,University of Texas MD Anderson Cancer Center,multi-modal-platforms-for-early-cancer-detection,lung cancer; pancreatic cancer; ovarian cancer; melanoma; renal cell carcinoma; hepatocellular carcinoma,unspecified,AUC (viral exposure signature vs AFP),higher than AFP (exact value not specified),,n not specified,HCC patients,AFP,interim
multi-modal-platforms-for-early-cancer-detection::dang::2,Qi Dang,University of Texas MD Anderson Cancer Center,multi-modal-platforms-for-early-cancer-detection,lung cancer; pancreatic cancer; ovarian cancer; melanoma; renal cell carcinoma; hepatocellular carcinoma,unspecified,Survival association (anti‑interferon antibodies),better overall survival (p-value not specified),,n not specified,ICI‑treated melanoma/NSCLC/RCC,,interim
multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope::sasieni::1,Peter Sasieni,"Queen Mary University of London, Center of Cancer Screening, Prevention, and Early Detection",multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope,pan-cancer,unspecified,Specificity,≥96.4%,,n=5 commercial tests,general screening population,,primary_endpoint_met
multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope::sasieni::1,Peter Sasieni,"Queen Mary University of London, Center of Cancer Screening, Prevention, and Early Detection",multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope,pan-cancer,unspecified,PPV,62%,,"n=25,000 participants (PATHFINDER 2)",participants with positive Galleri test,,primary_endpoint_met
multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope::sasieni::1,Peter Sasieni,"Queen Mary University of London, Center of Cancer Screening, Prevention, and Early Detection",multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope,pan-cancer,unspecified,Episode sensitivity,74%,,"n=25,000 participants (PATHFINDER 2)",asymptomatic screened individuals,,primary_endpoint_met
multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope::sasieni::1,Peter Sasieni,"Queen Mary University of London, Center of Cancer Screening, Prevention, and Early Detection",multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope,pan-cancer,unspecified,Stage 4 cancer reduction,favorable trend (statistically significant reduction not reached),,"NHS Galleri RCT (140,000 participants)",screened vs usual care,,interim
multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope::sasieni::1,Peter Sasieni,"Queen Mary University of London, Center of Cancer Screening, Prevention, and Early Detection",multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope,pan-cancer,unspecified,Cancer detection rate,1 in 200 screened,,NHS Galleri cohort,general population screened,,interim
multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope::sasieni::1,Peter Sasieni,"Queen Mary University of London, Center of Cancer Screening, Prevention, and Early Detection",multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope,pan-cancer,unspecified,Cancer diagnosis among positives,over 50% diagnosed with cancer,,NHS Galleri positives,positive test individuals,,interim
multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope::etzioni::2,Ruth Etzioni,"Fred Hutchinson Cancer Center, Public Health Science Division, Rosalind and Harold Ray Brown Chair",multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope,pan-cancer,unspecified,Galleri trial stage‑4 reduction,statistically significant reduction,,"NHS Galleri RCT (140,000 participants)",screened vs usual care,,interim
multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope::etzioni::2,Ruth Etzioni,"Fred Hutchinson Cancer Center, Public Health Science Division, Rosalind and Harold Ray Brown Chair",multicancer-early-detection-mced-where-we-are-and-how-we-realize-the-hope,pan-cancer,unspecified,Galleri trial stage‑3/4 reduction,not achieved,,"NHS Galleri RCT (140,000 participants)",screened vs usual care,,interim
nci-directors-address-and-fireside-chat::lattai::1,Anthony Lattai,"National Cancer Institute, Director",nci-directors-address-and-fireside-chat,,unspecified,cancer death rate decline,34%,,,US since 1991,,primary_endpoint_met
nci-directors-address-and-fireside-chat::lattai::1,Anthony Lattai,"National Cancer Institute, Director",nci-directors-address-and-fireside-chat,,unspecified,cancer mortality decline,33%,,,US since 1991,,primary_endpoint_met
nci-directors-address-and-fireside-chat::lattai::1,Anthony Lattai,"National Cancer Institute, Director",nci-directors-address-and-fireside-chat,,unspecified,people alive due to advances,5 million,,,US cancer survivors,,primary_endpoint_met
nci-directors-address-and-fireside-chat::lattai::1,Anthony Lattai,"National Cancer Institute, Director",nci-directors-address-and-fireside-chat,,unspecified,NCI budget increase FY2026,$128 million,,,NCI FY2026,,primary_endpoint_met
nci-directors-address-and-fireside-chat::lattai::1,Anthony Lattai,"National Cancer Institute, Director",nci-directors-address-and-fireside-chat,,unspecified,total NCI appropriation FY2026,$7.3 billion,,,NCI FY2026,,primary_endpoint_met
nci-directors-address-and-fireside-chat::lattai::1,Anthony Lattai,"National Cancer Institute, Director",nci-directors-address-and-fireside-chat,,unspecified,new competing grants FY2026,200,,,extramural grants FY2026,,primary_endpoint_met
nci-directors-address-and-fireside-chat::lattai::1,Anthony Lattai,"National Cancer Institute, Director",nci-directors-address-and-fireside-chat,,unspecified,non-competing grants FY2026,"1,500",,,extramural grants FY2026,,primary_endpoint_met
nci-directors-address-and-fireside-chat::lattai::1,Anthony Lattai,"National Cancer Institute, Director",nci-directors-address-and-fireside-chat,,unspecified,R01 success rate FY2026,11%,,,R01 applications FY2026,,primary_endpoint_met
nci-directors-address-and-fireside-chat::lattai::1,Anthony Lattai,"National Cancer Institute, Director",nci-directors-address-and-fireside-chat,,unspecified,Early Stage Investigator awards FY2026,≈120,,,ESI awards FY2026,,primary_endpoint_met
ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio::agrawal::1,Lokesh Agrawal,"Acting Chief, Biorepositories and Biospecimen Research Branch, NCI",ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio,,unspecified,funded_grants_U01,24,,n=24 U01 grants,U01 mechanism grants across cancer types,,updated
ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio::agrawal::1,Lokesh Agrawal,"Acting Chief, Biorepositories and Biospecimen Research Branch, NCI",ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio,,unspecified,researchers_served,618,,n=618 unique researchers (2022‑2024),users of CHTN services,,updated
ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio::agrawal::1,Lokesh Agrawal,"Acting Chief, Biorepositories and Biospecimen Research Branch, NCI",ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio,,unspecified,academic_investigators,67,,n=67 investigators,academic users of CHTN,,updated
ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio::agrawal::1,Lokesh Agrawal,"Acting Chief, Biorepositories and Biospecimen Research Branch, NCI",ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio,,unspecified,specimens_distributed,117,,n=117 specimens (various forms),distributed by CHTN,,updated
ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio::agrawal::1,Lokesh Agrawal,"Acting Chief, Biorepositories and Biospecimen Research Branch, NCI",ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio,,unspecified,publications,122,,n=122 publications (2022‑2023),resulting from CHTN distributed specimens,,updated
ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio::agrawal::1,Lokesh Agrawal,"Acting Chief, Biorepositories and Biospecimen Research Branch, NCI",ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio,,unspecified,total_patients_Moonshot,"≈1,300",,"n≈1,300 patients enrolled",Cancer Moonshot Biobank,,updated
ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio::agrawal::1,Lokesh Agrawal,"Acting Chief, Biorepositories and Biospecimen Research Branch, NCI",ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio,,unspecified,longitudinal_subjects,"1,020",,"n=1,020 subjects with longitudinal blood or tissue",Moonshot cohort,,updated
ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio::agrawal::1,Lokesh Agrawal,"Acting Chief, Biorepositories and Biospecimen Research Branch, NCI",ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio,,unspecified,subjects_multiple_timepoints_blood,≈300,,n≈300 subjects with >2 blood timepoints,Moonshot cohort,,updated
ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio::agrawal::1,Lokesh Agrawal,"Acting Chief, Biorepositories and Biospecimen Research Branch, NCI",ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio,,unspecified,subjects_multiple_timepoints_tissue,≈150,,n≈150 subjects with 2 tissue timepoints,Moonshot cohort,,updated
ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio::agrawal::1,Lokesh Agrawal,"Acting Chief, Biorepositories and Biospecimen Research Branch, NCI",ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio,,unspecified,Black_African_American_enrollment,18%,,n=~18% of Moonshot patients,racial diversity metric,,updated
ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio::agrawal::1,Lokesh Agrawal,"Acting Chief, Biorepositories and Biospecimen Research Branch, NCI",ncinih-opportunities-in-funding-nci-cancer-diagnosis-program-initiatives-and-bio,,unspecified,Hispanic_enrollment,8%,,n=~8% of Moonshot patients,racial diversity metric,,updated
neural-immune-crosstalk-in-cancer::trump::2,Andreas Trump,"German Cancer Research Center (DKFZ), Heidelberg",neural-immune-crosstalk-in-cancer,pancreatic cancer,phase_1_2,progression‑free survival,not reported,,n=0 (trial planned),locally advanced PDAC,,interim
new-advances-in-bispecific-antibody-development::weiser::2,Nina Weiser,Designworks (executive director of multispecific antibody therapeutics),new-advances-in-bispecific-antibody-development,biliary tract cancer; gastric cancer; breast cancer; HER2‑positive solid tumors,approved,PFS,12.4 months vs 8.0 months,,n=?? (phase III trial),HER2‑positive gastric cancer (ZAN + chemo),chemo alone,primary_endpoint_met
new-advances-in-bispecific-antibody-development::weiser::2,Nina Weiser,Designworks (executive director of multispecific antibody therapeutics),new-advances-in-bispecific-antibody-development,biliary tract cancer; gastric cancer; breast cancer; HER2‑positive solid tumors,approved,OS,24.4 months vs 19.2 months,,n=??,HER2‑positive gastric cancer (ZAN + chemo),chemo alone,interim
new-advances-in-bispecific-antibody-development::weiser::2,Nina Weiser,Designworks (executive director of multispecific antibody therapeutics),new-advances-in-bispecific-antibody-development,biliary tract cancer; gastric cancer; breast cancer; HER2‑positive solid tumors,approved,ORR,59% vs 30% historical,,n=??,HER2‑positive biliary tract cancer (ZAN + chemo),trastuzumab + pertuzumab,primary_endpoint_met
new-advances-in-bispecific-antibody-development::desjarlais::3,John Desjarlais,Zencor (Chief Science Officer),new-advances-in-bispecific-antibody-development,clear cell renal cell carcinoma; colorectal cancer; prostate cancer; lung adenocarcinoma,phase_1,ORR,5/20 PRs,,n=20,Refractory clear cell RCC,,interim
new-advances-in-bispecific-antibody-development::desjarlais::3,John Desjarlais,Zencor (Chief Science Officer),new-advances-in-bispecific-antibody-development,clear cell renal cell carcinoma; colorectal cancer; prostate cancer; lung adenocarcinoma,phase_1,Tumor reduction,≥50% reduction in >50% of patients,,n=20,Refractory clear cell RCC,,interim
new-advances-in-bispecific-antibody-development::desjarlais::3,John Desjarlais,Zencor (Chief Science Officer),new-advances-in-bispecific-antibody-development,clear cell renal cell carcinoma; colorectal cancer; prostate cancer; lung adenocarcinoma,phase_1,CRS incidence,"70% any grade, <5% grade 3, 0% grade 4",,n=20,All treated patients,,interim
new-advances-in-bispecific-antibody-development::desjarlais::3,John Desjarlais,Zencor (Chief Science Officer),new-advances-in-bispecific-antibody-development,clear cell renal cell carcinoma; colorectal cancer; prostate cancer; lung adenocarcinoma,phase_1,Rash incidence,Common AE due to basophil/mast cell depletion,,n=20,All treated patients,,interim
new-drugs-on-the-horizon-part-1::chamberlain::1,Phil Chamberlain,"Neomorph, San Diego",new-drugs-on-the-horizon-part-1,clear cell renal cell carcinoma,phase_1,tumor regression,robust single‑agent regression at low oral doses,,n=unspecified preclinical mice,ccRCC xenograft models,,preclinical
new-drugs-on-the-horizon-part-1::chamberlain::1,Phil Chamberlain,"Neomorph, San Diego",new-drugs-on-the-horizon-part-1,clear cell renal cell carcinoma,phase_1,body weight change,no significant change,,n=unspecified,treated mice,,preclinical
new-drugs-on-the-horizon-part-1::sitnikova::2,Suzanne Sitnikova,"AstraZeneca, Discovery Immunology",new-drugs-on-the-horizon-part-1,prostate cancer,preclinical,tumor clearance,complete tumor eradication in intratubal model,,n=unspecified mice,STEAP2‑positive prostate tumors,isotype control TCE,preclinical
new-drugs-on-the-horizon-part-1::sitnikova::2,Suzanne Sitnikova,"AstraZeneca, Discovery Immunology",new-drugs-on-the-horizon-part-1,prostate cancer,preclinical,cytokine release,significantly lower cytokine levels at efficacious doses,,n=unspecified,humanized mice,conventional non‑CD8‑guided TCE,preclinical
new-drugs-on-the-horizon-part-1::nicholson::3,Hillary Nicholson,Tango Therapeutics,new-drugs-on-the-horizon-part-1,pancreatic cancer; non‑small cell lung cancer; FOCAD‑deleted cancers,IND_enabling,tumor regression,complete regressions in pancreatic and NSCLC models,,n=unspecified mice,FOCAD‑deleted CDX/PDX models,vehicle,preclinical
new-drugs-on-the-horizon-part-1::nicholson::3,Hillary Nicholson,Tango Therapeutics,new-drugs-on-the-horizon-part-1,pancreatic cancer; non‑small cell lung cancer; FOCAD‑deleted cancers,IND_enabling,combination benefit,"all tumors regressed, 6/8 complete regressions with sub‑therapeutic TNG961 + PRMT5 inhibitor",,n=8,FOCAD‑/MTAP‑deleted NSCLC xenografts,single agents,preclinical
new-drugs-on-the-horizon-part-1::nicholson::3,Hillary Nicholson,Tango Therapeutics,new-drugs-on-the-horizon-part-1,pancreatic cancer; non‑small cell lung cancer; FOCAD‑deleted cancers,IND_enabling,exposure,"dose‑proportional, 20‑fold above predicted human efficacious dose",,n=unspecified,GLP toxicology species,,preclinical
new-drugs-on-the-horizon-part-1::garde::4,Shirah Garde,"EpiBiologics, Chief Scientific Officer",new-drugs-on-the-horizon-part-1,non‑small cell lung cancer; head and neck cancer; colorectal cancer,IND_enabling,tumor regression,complete responses in mutant EGFR NSCLC models after 3 doses,,n=unspecified mice,EGFR mutant xenografts,blocking antibodies (stasis only),preclinical
new-drugs-on-the-horizon-part-1::garde::4,Shirah Garde,"EpiBiologics, Chief Scientific Officer",new-drugs-on-the-horizon-part-1,non‑small cell lung cancer; head and neck cancer; colorectal cancer,IND_enabling,safety (NOAEL),"204 mg/kg every 2 weeks for 3 doses, no EGFR‑related toxicities",,n=unspecified NHPs,cynomolgus monkeys,,preclinical
new-drugs-on-the-horizon-part-3::evangelista::1,Marie Evangelista,"Circle Pharma, Head of Research",new-drugs-on-the-horizon-part-3,solid tumors,phase_1,Phase I safety,ongoing,,n=unknown,solid tumor patients with RB loss or E2F high,,interim
new-drugs-on-the-horizon-part-3::pass::2,Martin Pass,"Enfysta Therapeutics, Chief Development Officer",new-drugs-on-the-horizon-part-3,AML,phase_1,tumor burden suppression,complete suppression at 50 mg BID,,n=5 per group,AML PDX model,venetoclax or vehicle,interim
new-drugs-on-the-horizon-part-3::pass::2,Martin Pass,"Enfysta Therapeutics, Chief Development Officer",new-drugs-on-the-horizon-part-3,AML,phase_1,overall survival,significant survival advantage,,n=5 per group,AML PDX model,vehicle,interim
new-drugs-on-the-horizon-part-3::vijayaraghavan::3,Smruthi Vijayaraghavan,"Johnson & Johnson, Director and Head of Solid Tumor Oncology Discovery",new-drugs-on-the-horizon-part-3,renal cell carcinoma; non-small cell lung cancer; colorectal cancer; endometrial cancer,phase_1,dose‑dependent tumor regression,complete regressions observed,,n=5 per cohort,ENPP3‑positive NSCLC and RCC PDX models,vehicle,interim
new-drugs-on-the-horizon-part-3::pleiss::4,Stefan Pleiss,"Ipsen Biopharmaceuticals, Senior Director and Head of Translational Science Leads in Oncology",new-drugs-on-the-horizon-part-3,solid tumors,phase_1,Vbeta6+ T cell expansion,19‑fold increase,,n=3 monkeys,cynomolgus monkeys,RSV‑IL15 control,interim
new-frontiers-in-precision-oncology::cho::1,Byung Chul Cho,"Yonsei Medical Center, Korea",new-frontiers-in-precision-oncology,NSCLC,phase_1_2,ORR,58.8%,,n=??,overall KRAS G12C NSCLC,,primary_endpoint_met
new-frontiers-in-precision-oncology::cho::1,Byung Chul Cho,"Yonsei Medical Center, Korea",new-frontiers-in-precision-oncology,NSCLC,phase_1_2,ORR (naïve),53.6%,,n=??,KRAS G12C inhibitor‑naïve NSCLC,,primary_endpoint_met
new-frontiers-in-precision-oncology::cho::1,Byung Chul Cho,"Yonsei Medical Center, Korea",new-frontiers-in-precision-oncology,NSCLC,phase_1_2,ORR (refractory),32.3%,,n=??,KRAS G12C inhibitor‑refractory NSCLC,,primary_endpoint_met
new-frontiers-in-precision-oncology::cho::1,Byung Chul Cho,"Yonsei Medical Center, Korea",new-frontiers-in-precision-oncology,NSCLC,phase_1_2,DOR median,14.9 months,,n=??,naïve cohort,,secondary_endpoint
new-frontiers-in-precision-oncology::cho::1,Byung Chul Cho,"Yonsei Medical Center, Korea",new-frontiers-in-precision-oncology,NSCLC,phase_1_2,PFS median,9.4 months,,n=??,naïve cohort,,secondary_endpoint
new-frontiers-in-precision-oncology::cho::1,Byung Chul Cho,"Yonsei Medical Center, Korea",new-frontiers-in-precision-oncology,NSCLC,phase_1_2,PFS median,8.1 months,,n=??,refractory cohort,,secondary_endpoint
new-frontiers-in-precision-oncology::cho::1,Byung Chul Cho,"Yonsei Medical Center, Korea",new-frontiers-in-precision-oncology,NSCLC,phase_1_2,12‑month OS rate,68%,,n=??,naïve cohort,,interim
new-frontiers-in-precision-oncology::rees::3,Jonathan Rees,University of California Davis Comprehensive Cancer Center,new-frontiers-in-precision-oncology,NSCLC,phase_1,ORR,52%,,n=20 efficacy patients,"KRAS G12D NSCLC, prior IO+platinum, no docetaxel",,primary_endpoint_met
new-frontiers-in-precision-oncology::rees::3,Jonathan Rees,University of California Davis Comprehensive Cancer Center,new-frontiers-in-precision-oncology,NSCLC,phase_1,DCR,93%,,n=20,same,,secondary_endpoint
new-frontiers-in-precision-oncology::rees::3,Jonathan Rees,University of California Davis Comprehensive Cancer Center,new-frontiers-in-precision-oncology,NSCLC,phase_1,PFS median,11.1 months,,n=20,same,,interim
new-frontiers-in-precision-oncology::rees::3,Jonathan Rees,University of California Davis Comprehensive Cancer Center,new-frontiers-in-precision-oncology,NSCLC,phase_1,12‑month OS rate,73%,,n=20,same,,interim
new-frontiers-in-precision-oncology::yap::5,Timothy Yap,MD Anderson Cancer Center,new-frontiers-in-precision-oncology,ovarian cancer; colorectal cancer; pancreas; breast; esophageal; others,phase_1,ORR,37.5%,,n=24 ovarian evaluable,ovarian cancer overall,,primary_endpoint_met
new-frontiers-in-precision-oncology::yap::5,Timothy Yap,MD Anderson Cancer Center,new-frontiers-in-precision-oncology,ovarian cancer; colorectal cancer; pancreas; breast; esophageal; others,phase_1,ORR,50%,,n=?? at RP2D,ovarian cancer at RP2D,,interim
new-frontiers-in-precision-oncology::yap::5,Timothy Yap,MD Anderson Cancer Center,new-frontiers-in-precision-oncology,ovarian cancer; colorectal cancer; pancreas; breast; esophageal; others,phase_1,DCR,68.5%,,n=51,overall treated cohort,,secondary_endpoint
new-frontiers-in-precision-oncology::yap::5,Timothy Yap,MD Anderson Cancer Center,new-frontiers-in-precision-oncology,ovarian cancer; colorectal cancer; pancreas; breast; esophageal; others,phase_1,ctDNA molecular response rate,47%,,n=??,all patients,,exploratory
new-frontiers-in-precision-oncology::delati::7,Afshin Delati,"University Hospital Seidman Cancer Center, Case Western Reserve University",new-frontiers-in-precision-oncology,,phase_1,ORR,confirmed responses in case studies,,n=2 case reports,RB‑altered osteosarcoma and neuroendocrine tumor,,exploratory
new-frontiers-in-precision-oncology::delati::7,Afshin Delati,"University Hospital Seidman Cancer Center, Case Western Reserve University",new-frontiers-in-precision-oncology,,phase_1,Grade 3 adverse events,2 patients (ALT elevation),,n=79,overall safety cohort,,primary_endpoint_met
new-technologies-in-the-metabolism-of-cancer::heiden::3,Matt Vander Heiden,"University of California, San Diego, Department of Medicine",new-technologies-in-the-metabolism-of-cancer,pancreatic ductal adenocarcinoma; acute lymphoblastic leukemia,mixed,progression‑free survival,3 months longer,,n=16 per arm,"metastatic pancreatic cancer, first‑line triple chemotherapy",standard diet control,interim
new-technologies-in-the-metabolism-of-cancer::heiden::3,Matt Vander Heiden,"University of California, San Diego, Department of Medicine",new-technologies-in-the-metabolism-of-cancer,pancreatic ductal adenocarcinoma; acute lymphoblastic leukemia,mixed,overall survival,3 months longer,,n=16 per arm,metastatic pancreatic cancer,standard diet control,interim
next-generation-radioligand-therapy::sutcliffe::1,Julie Sutcliffe,"University of California, Davis; Founder and CEO of Luminance Biosciences",next-generation-radioligand-therapy,pancreatic cancer; breast cancer; colon cancer; lung cancer; ovarian carcinoma; neuroblastoma,phase_1,Maximum tolerated dose,200 mCi,,10 patients received top dose (7 evaluable),pancreatic cancer patients,,primary_endpoint_met
next-generation-radioligand-therapy::sutcliffe::1,Julie Sutcliffe,"University of California, Davis; Founder and CEO of Luminance Biosciences",next-generation-radioligand-therapy,pancreatic cancer; breast cancer; colon cancer; lung cancer; ovarian carcinoma; neuroblastoma,phase_1,Tumor SUV reduction,40% decrease,,1 patient,heavily pre‑treated pancreatic cancer,,exploratory
next-generation-radioligand-therapy::sutcliffe::1,Julie Sutcliffe,"University of California, Davis; Founder and CEO of Luminance Biosciences",next-generation-radioligand-therapy,pancreatic cancer; breast cancer; colon cancer; lung cancer; ovarian carcinoma; neuroblastoma,phase_1,CA19-9 change,decrease,,1 patient,pancreatic cancer,,exploratory
