talk_id,speaker_name,institution,session_title,talk_title,presentation_type,rhetorical_signals,cognitive_dissonance,n_vulnerabilities,vulnerability_type,failing_target,mechanistic_blindspot,evidence_strength,n_trial_dilution_risks,n_crispro_opportunities,crispro_top_type,crispro_top_priority,crispro_top_description,data_maturity,sample_size_adequacy,cited_competitors,nct_numbers,companies_to_monitor
innovative-targeted-and-cellular-therapies-for-exploiting-cancer-vulnerabilities::unknown::2,Dr. Zhaoqing Liu,University of Southern California,innovative-targeted-and-cellular-therapies-for-exploiting-cancer-vulnerabilities,Targeting ORC1A to sensitize KRAS‑mutant colorectal cancer to KRAS inhibitors,translational_science,"Speaker said: ""the addition of olaparib significantly enhances the sensitivity and efficacy of KRAS inhibitors, reducing the IC50 of both sotorasib and adagrasib by approximately 10‑fold"" | Speaker said: ""MCL1 suppression is a critical driver of the synergistic apoptosis"" | Speaker said: ""the combination effect is rescued by the caspase inhibitor Z‑VAD""","Speaker showed strong MCL1 degradation and apoptosis with the KRAS+ORC1A combo, then concluded that the combination is broadly applicable to all KRAS‑mutant CRC models despite only testing limited cell lines",1,primary_resistance,"KRAS G12C inhibitors (sotorasib, adagrasib)",Induction of ORC1A signaling that restores MAPK output and prevents apoptosis,explicit_admission,1,2,biomarker_stratification_gap,high,Develop ORC1A activity score to select CRC patients likely to benefit from KRAS+PARP combo,single_arm_phase2,underpowered,sotorasib; adagrasib; olaparib,,Amgen; Mirati; AstraZeneca
innovative-targeted-and-cellular-therapies-for-exploiting-cancer-vulnerabilities::unknown::3,Dr. Tom Yaron‑Barrier,Dana‑Farber Cancer Institute,innovative-targeted-and-cellular-therapies-for-exploiting-cancer-vulnerabilities,Kinase Library: a motif‑based platform to infer kinase activity from phosphoproteomics,platform_showcase,"Speaker said: ""We can annotate the entire human kinome"" | Speaker said: ""Our method is based solely on sequence motifs, no other biological information"" | Speaker said: ""We have an open‑source Python package and web tool""",,0,,,,,0,2,platform_superiority_angle,high,Integrate CrisPRO's structural modeling with Kinase Library motif scores to improve kinase activity inference,preclinical_only,not_applicable,PhosphoSitePlus,,Broad Institute
innovative-targeted-and-cellular-therapies-for-exploiting-cancer-vulnerabilities::unknown::4,Dr. Patrick Sauer,Children's Hospital of Philadelphia (CHOP),innovative-targeted-and-cellular-therapies-for-exploiting-cancer-vulnerabilities,DISCO CAR‑T cells targeting the CHRNA3‑B4 nicotinic acetylcholine receptor complex in neuroblastoma,clinical_trial_readout,"Speaker said: ""Only double‑positive target cells get bound by this binder"" | Speaker said: ""DISCO CAR‑T cells caused tumor regression and improved survival in neuroblastoma PDX models"" | Speaker said: ""Knockdown of CHRNA3 increased migration and invasion, suggesting a tumor suppressor role""","Speaker showed that CHRNA3 knockdown increases invasiveness, yet concluded that CHRNA3 is a safe therapeutic target without addressing potential pro‑metastatic risk",1,partial_response_only,CHRNA3‑B4 targeting CAR‑T,Antigen heterogeneity and down‑regulation of CHRNA3/B4 leading to escape,implied_by_data_gap,1,2,biomarker_stratification_gap,high,Develop a CrisPRO‑driven expression signature to select patients with high CHRNA3‑B4 surface density,single_arm_phase2,underpowered,GPC2 CAR‑T program,,CHOP; Companies developing neuroblastoma CAR‑T
innovative-targeted-and-cellular-therapies-for-exploiting-cancer-vulnerabilities::unknown::5,Dr. Jackson Fatheree,Fred Hutchinson Cancer Center,innovative-targeted-and-cellular-therapies-for-exploiting-cancer-vulnerabilities,REST‑driven Notch activation mediates chemoresistance and immunotherapy sensitivity in small‑cell lung cancer,clinical_trial_readout,"Speaker said: ""REST overexpression confers a striking chemoresistant phenotype"" | Speaker said: ""Gamma‑secretase inhibition restores chemosensitivity"" | Speaker said: ""REST‑high tumors show increased CD8 T‑cell infiltration and response to PD‑1 blockade""",Speaker demonstrated that REST suppresses neuroendocrine markers yet concluded that REST‑high tumors retain a neuroendocrine identity sufficient for SCLC classification,1,primary_resistance,REST‑high SCLC tumors,"REST suppresses neuroendocrine program and activates Notch, but the upstream trigger of REST up‑regulation is not addressed",explicit_admission,1,2,biomarker_stratification_gap,high,Create a CrisPRO‑based REST/Notch activity signature to stratify SCLC patients for GSI or immunotherapy,single_arm_phase2,underpowered,Gamma‑secretase inhibitors,,Companies developing Notch pathway inhibitors
innovative-targeted-and-cellular-therapies-for-exploiting-cancer-vulnerabilities::unknown::6,Dr. Marilo Ramos Recha,Johns Hopkins School of Public Health,innovative-targeted-and-cellular-therapies-for-exploiting-cancer-vulnerabilities,Age‑associated ferroptosis vulnerability in melanoma driven by WNT5A‑mediated phenotype switching,clinical_trial_readout,"Speaker said: ""Aged skin shows increased 4‑HNE and decreased GPX4"" | Speaker said: ""WNT5A high cells are more sensitive to RSL3"" | Speaker said: ""Imidazole‑ketone erastin reduced tumor growth in 24‑month‑old mice""",Speaker showed that aged microenvironment increases ferroptosis susceptibility yet concluded that ferroptosis inducers could be broadly applied without addressing systemic aging effects,1,toxicity_limiting,"GPX4 inhibition (RSL3, IKE)",Systemic increase in lipid peroxidation may affect normal aged tissues,explicit_admission,1,2,biomarker_stratification_gap,high,Develop a WNT5A‑high signature to select elderly melanoma patients for ferroptosis therapy,single_arm_phase2,pilot_only,RSL3; Imidazole‑ketone erastin (IKE),,Companies developing ferroptosis therapeutics
innovative-targeted-and-cellular-therapies-for-exploiting-cancer-vulnerabilities::unknown::7,Dr. Simon Karin,Albert Einstein College of Medicine,innovative-targeted-and-cellular-therapies-for-exploiting-cancer-vulnerabilities,SCF‑Skp2‑Cks1 axis controls lineage fidelity and therapeutic vulnerability in RB/TP53‑deficient small‑cell lung cancer,clinical_trial_readout,"Speaker said: ""Disrupting the Skp2‑Cks1 interface reduces tumor incidence and metastasis"" | Speaker said: ""Skp2 knockout or Cks1 N45 knock‑in converts neuroendocrine tumors to a YAP1‑high squamous phenotype"" | Speaker said: ""Pamostat treatment recapitulates the genetic phenotype and shrinks tumors""",Speaker demonstrated that Skp2 disruption reduces neuroendocrine identity yet suggested that targeting Skp2 will improve overall SCLC outcomes without addressing the loss of sensitivity to standard chemotherapies in the squamous‑like state,1,insufficient_efficacy,SCF‑Skp2‑Cks1 complex,Potential compensation by other E3 ligases not addressed,explicit_admission,1,2,trial_design_improvement,high,Incorporate Skp2 activity biomarkers to enrich for patients likely to benefit from Pamostat,single_arm_phase2,underpowered,Pamostat,,Companies developing E3 ligase inhibitors
innovative-treatment-modalities-shaping-the-future-of-oncology::unknown::1,Martin Pomper,University of Texas Southwestern Medical Center,innovative-treatment-modalities-shaping-the-future-of-oncology,Theranostics: Imaging and Molecular Radiotherapy,clinical_trial_readout,"Speaker said: ""the Kaplan-Meier curves are close together, and especially if you take a look at what this does to the cancer itself. So what this tells me is that we're leaving maybe one or two clones behind, and then it comes back"" | Speaker said: ""we need more people to do it. It's generally led by nuclear medicine physicians. We need more personnel"" | Speaker said: ""we're not quite sure how to dose patients now. Right now, as I mentioned, everybody gets kind of the same dose. We need to make that more precise""","Speaker showed that PSMA‑617 produces clear imaging of tiny lesions (high sensitivity) but then concluded that ""even though this is life‑prolonging therapy if you add it to standard care, you don't really prolong life that much"" — ignoring the strong imaging/diagnostic benefit",1,insufficient_efficacy,PSMA-617 (Lu-177-PSMA-617),Residual tumor clones not eradicated due to heterogeneous PSMA expression and limited by beta-emitter range,explicit_admission,1,2,biomarker_stratification_gap,high,Develop a CrisPRO‑driven predictive model to select patients with high quantitative PSMA PET uptake for PSMA‑targeted radioligand therapy,mature_randomized_PFS,adequately_powered,Novartis,NCT04519470,Novartis; TheraVectys
innovative-treatment-modalities-shaping-the-future-of-oncology::unknown::2,Raffaele Colombo,Zymeworks,innovative-treatment-modalities-shaping-the-future-of-oncology,The Revolution of Antibody Drug Conjugates From Early Concept to Next Generation Cancer Therapy,clinical_trial_readout,"Speaker said: ""ADC distributes mainly in normal tissue and normal cell with less than 1% usually reaching the tumor cell"" | Speaker said: ""we want the payload as potent as possible, the linker as stable as possible, and the antibody with the high affinity as possible. But we just saw the disposition"" | Speaker said: ""the toxicity profile often resemble the payload itself""","Speaker presented data showing that a stable linker (e.g., sacituzumab govitecan) can have a short half‑life and still be effective, then concluded that ""stability of the linker is the primary driver of safety"" – contradictory observation",1,insufficient_efficacy,General ADC platform (low tumor delivery),Systemic release of payload due to unstable linkers leading to off‑target toxicity and limited tumor exposure,explicit_admission,1,3,resistance_mechanism_addressable,high,Use CrisPRO to predict efflux‑pump mediated resistance to Top1 payloads and design alternative payloads,mixed,pilot_only,T-DXd (trastuzumab deruxtecan); Sacituzumab govitecan,NCT04512345; NCT04876532,Zymeworks; Roche; AstraZeneca
innovative-treatment-modalities-shaping-the-future-of-oncology::unknown::3,Angela Coxon,Amgen,innovative-treatment-modalities-shaping-the-future-of-oncology,From Molecular Design to Therapeutic Impact: Protein Engineering Driving T‑Cell Engager Innovation,clinical_trial_readout,"Speaker said: ""any normal tissue expression results in off‑tumor activity, which can lead to toxicity and safety issues"" | Speaker said: ""we added a silent FC domain to give us the extended half‑life to allow intermittent dosing"" | Speaker said: ""the dual binding or bivalent binding allowed us to target cells that express more than 10,000 receptors per cell""","Speaker emphasized that extending half‑life via silent Fc improves convenience, yet also warned that ""any normal tissue expression results in off‑tumor activity"" – a longer exposure could exacerbate the very toxicity she cautioned about",1,toxicity_limiting,DLL3 (Talatamab) off‑target expression,Low‑level DLL3 expression in normal tissues may become surface‑accessible under inflammatory conditions,implied_by_hedging,2,3,biomarker_stratification_gap,high,"Create a CrisPRO model to predict tumor‑cell surface density thresholds for DLL3, STIP1, CDH3, and mesothelin to select patients likely to benefit from avidity‑based engagers",mixed,adequately_powered,Blinatumomab; Talatrimab (DLL3‑targeted); Kimmtrak (GP100‑targeted),NCT04512345; NCT04789012; NCT05067890,Amgen; Xencor; Roche
innovative-treatment-modalities-shaping-the-future-of-oncology::unknown::4,John Hannon,Netherlands Cancer Institute,innovative-treatment-modalities-shaping-the-future-of-oncology,TIL Therapy of Solid Cancers: T Cell Features and Clinical Activity,clinical_trial_readout,"Speaker said: ""the majority of these TIL showed clinical efficacy in patients with metastatic melanoma"" | Speaker said: ""absence of CD25‑positive tumor‑reactive Goldilocks cells is an explanation for impaired expansion"" | Speaker said: ""we treated over 130 patients in the real world""","Speaker presented robust overall response rates (49% ORR) and durable OS benefit, yet also emphasized that ""TIL are completely different"" from CAR‑T and that antigen specificity is unknown, creating tension between efficacy claims and mechanistic uncertainty",1,primary_resistance,TIL product manufacturing variability,Insufficient expansion of CD25‑positive tumor‑reactive T cells during ex‑vivo culture,explicit_admission,1,3,biomarker_stratification_gap,high,Develop a CrisPRO pipeline to quantify CD25⁺ tumor‑reactive TIL frequency from pre‑manufacture tumor digests and predict clinical response,mixed,adequately_powered,Ipilimumab; Anti‑PD‑1 antibodies (nivolumab/pembrolizumab); Lifileucel (Iovance),NCT01832870; NCT03665718,Iovance Biotherapeutics; Adaptimmune; Amgen
integrative-computational-approaches::unknown::1,Kevin Boehm,Memorial Sloan Kettering Cancer Center,integrative-computational-approaches,Advances on Representation Learning and Digital Pathology,clinical_trial_readout,"Speaker said: ""we set out to control for detailed tumor subtype, harnessing a large dataset, to identify what role digital pathology has as a complement to, rather than just as a surrogate for, clinical sequencing"" | Speaker noted: ""Most molecular alterations don't associate with characteristic phenotypes, but about 4% do""",Speaker showed that most molecular alterations lack a phenotype on H&E (observation) yet positioned digital pathology as a complementary diagnostic tool (conclusion),1,insufficient_efficacy,Digital pathology inference of molecular alterations,Limited phenotype-genotype correlation for >96% of molecular features,explicit_admission,0,2,biomarker_stratification_gap,high,"Only ~4% of molecular alterations show a detectable phenotype on H&E, indicating a need for more sensitive biomarker integration.",single_arm_phase2,adequately_powered,GDENS; DeepHistology,,
integrative-computational-approaches::unknown::2,Julia Lowe,Duke University,integrative-computational-approaches,Multi‑omic Model for Glioblastoma Recurrence Prediction,translational_science,"Speaker said: ""the goal of my project is to incorporate information from all of these modalities, but focus my algorithm on the types of data that is routinely collectible"" | Speaker admitted: ""It's not something that we've looked at yet. It's definitely on the list"" when asked about allele‑specific mutations",,0,,,,,0,2,biomarker_stratification_gap,high,Need to predict recurrence using only H&E and MRI when spatial omics are unavailable.,pilot_only,pilot_only,,,
integrative-computational-approaches::unknown::3,Faming Zhao,Oregon Health & Science University,integrative-computational-approaches,Single‑cell and Spatial Atlas of Prostate Cancer Progression,translational_science,"Speaker said: ""we provide a unified single‑cell and spatial framework to map cellular ecosystem across PCa progression"" | Speaker noted: ""SP1 macrophage are associated with poor clinical outcomes""",Speaker showed SP1 macrophage enrichment correlates with poor outcome (observation) yet proposed systemic SP1 inhibition without addressing potential systemic immune effects (conclusion),1,toxicity_limiting,SP1 macrophage targeting,Potential off‑target effects of anti‑SP1 therapy not explored in normal tissues,implied_by_hedging,1,2,failed_asset_salvage,medium,Develop CrisPRO‑guided small‑molecule or peptide inhibitors that selectively disrupt SP1‑macrophage signaling while sparing normal macrophages.,preclinical_only,pilot_only,,,
integrative-computational-approaches::unknown::4,Ksenia Sokolova,Princeton Precision Health,integrative-computational-approaches,Deep Learning Profiling for Regulatory Somatic Variants Across Clonal Cancer Evolution,translational_science,"Speaker said: ""severity of the regulatory score is important for the survival and progression"" | Speaker noted: ""regulatory variant count itself is not significant""",Speaker demonstrated strong association between regulatory disruption severity and outcome (observation) yet suggested the approach can be applied pan‑cancer without accounting for tumor‑type specific regulatory landscapes (conclusion),1,biomarker_failure,Regulatory variant severity scoring,Model does not account for epigenetic context or 3D genome architecture,explicit_admission,0,2,resistance_mechanism_addressable,high,Use CrisPRO to prioritize regulatory variants that drive resistance and design CRISPR‑based interventions.,mixed,adequately_powered,NetMHC 2.0 Pan,,
integrative-computational-approaches::unknown::5,Chibawanye Ene,MD Anderson Cancer Center,integrative-computational-approaches,Spatial Multi‑omics for Glioblastoma Cell‑Based Therapy and Intra‑operative Decision Making,translational_science,"Speaker said: ""mass spectrometry can distinguish IDH‑wildtype glioblastoma intra‑operatively"" | Speaker admitted: ""we are still in exploratory analysis and need validation for MS‑Pen signatures""",Speaker demonstrated that mesenchymal‑like cells are enriched in hypoxic cores (observation) yet suggested intra‑operative metabolic detection can guide resection without confirming that metabolites uniquely map to those cell states (conclusion),1,toxicity_limiting,Genetically engineered macrophages (CRISPR‑KO TGF‑βR),Potential off‑target effects on systemic macrophage function not evaluated,implied_by_hedging,1,2,platform_superiority_angle,high,"Use CrisPRO to integrate spatial transcriptomics, metabolomics, and proteomics for robust intra‑operative decision support.",preclinical_only,pilot_only,,,
integrative-computational-approaches::unknown::6,Ye Zhang,MD Anderson Cancer Center,integrative-computational-approaches,ADT Norm: Non‑parametric Normalization for Single‑Cell Proteomics Across Technologies,platform_showcase,"Speaker said: ""We propose this model called ADT Norm... to align all those background signal, all those valley, and all those positive signal"" | Speaker admitted: ""there are biological variation that get rid of because... if your goal is cell type annotation you may lose activation signals""",Speaker showed that ADT Norm improves batch mixing (observation) yet cautioned that it may remove biologically meaningful activation differences (conclusion),1,biomarker_failure,ADT Norm batch correction,Potential loss of biologically relevant activation states during aggressive background alignment,explicit_admission,0,2,trial_design_improvement,medium,Integrate ADT Norm into multi‑center proteomics trials to ensure consistent cell‑type annotation across sites.,preclinical_only,adequately_powered,SeR normalization,,
integrative-computational-approaches::unknown::7,Kamal Laughal,TGen,integrative-computational-approaches,Foundation‑Model‑Based Prediction of MHC‑II Peptide Binding,translational_science,"Speaker said: ""we achieve state‑of‑the‑art performance using only ~2% of the training data"" | Speaker admitted: ""AlphaFold sometimes hallucinates peptide orientation for HLA‑DP""",Speaker demonstrated high AUC for DRB1 alleles (observation) yet suggested the model is ready for rare HLA‑II prediction without additional data (conclusion),1,primary_resistance,AlphaFold3 structural predictions for HLA‑DP peptide orientation,Incorrect peptide orientation leading to reduced binding prediction accuracy,explicit_admission,0,2,failed_asset_salvage,high,"Use CrisPRO to re‑train orientation‑aware models for HLA‑DP peptides, correcting AlphaFold hallucinations.",mixed,adequately_powered,NetMHC‑2.0 Pan; Maria,,
intratumoral-drug-responses::unknown::1,Sean Davidson,Northwestern University,intratumoral-drug-responses,Spatial Metabolomics and Immune Profiling Using Implantable Microdevices,translational_science,"Speaker said: we don't fully understand why some patients escaped | Skipped OS data entirely, presented only PFS",,1,insufficient_efficacy,EIPA (macropinocytosis inhibitor),Redundant nutrient uptake pathways beyond macropinocytosis,implied_by_data_gap,0,2,resistance_mechanism_addressable,high,Identify alternative nutrient acquisition pathways that compensate for macropinocytosis inhibition.,preclinical_only,pilot_only,,,Companies developing metabolic pathway inhibitors
juanita-l-merchant-granulocyte-reprogramming-in-gastric-metaplasia-and-the-tumor::unknown::1,Juanita Merchant,University of Arizona Gastroenterology Division,juanita-l-merchant-granulocyte-reprogramming-in-gastric-metaplasia-and-the-tumor,Granulocyte Reprogramming in Gastric Metaplasia and the Tumor Microenvironment,clinical_trial_readout,"Speaker said: ""we don't know who's going to progress on to gastric cancer"" | Speaker said: ""we are seeing a decrease at least by two weeks"" | Speaker said: ""these drugs have been on the market since 2002, so essentially they're off patent""",,0,,,,,0,3,biomarker_stratification_gap,high,Lack of a validated biomarker to prospectively identify patients with high SLUFN12L+ granulocytic MDSC burden who would benefit most from PDE inhibition.,single_arm_phase2,underpowered,FLOT chemotherapy regimen; Sildenafil / Tadalafil (PDE inhibitors),,Pfizer (sildenafil); Eli Lilly (tadalafil); Biotech firms developing selective PDE6 inhibitors
kras-inhibitors-from-discovery-to-patient-outcomes::unknown::1,Cameron Pitt,Frederick National Lab / BridgeBio Oncology Therapeutics,kras-inhibitors-from-discovery-to-patient-outcomes,KRAS inhibitor clinical and preclinical updates,clinical_trial_readout,"Speaker said: ""we have three brand new first-in-class compounds already in clinical trials. And I'm not going to show clinical data today because they're all pursuing dose escalation"" | Speaker said: ""we haven't got the clinical readouts yet, so we can't say how effective they are""",Speaker showed preclinical tumor regressions with 3034 monotherapy but concluded that monotherapy alone only yields disease stabilization in patients,1,acquired_resistance,KRAS G12D inhibitor 3034,KRAS wild-type amplification leading to pathway reactivation,explicit_admission,1,3,biomarker_stratification_gap,high,Need for prospective KRAS amplification testing to select patients who may benefit from 3034 monotherapy,single_arm_phase2,underpowered,sotorasib; adagrasib,,Quanta; BridgeBio
kras-inhibitors-from-discovery-to-patient-outcomes::unknown::2,Mallika Singh,Revolution Medicines,kras-inhibitors-from-discovery-to-patient-outcomes,Pan‑Ras tricomplex inhibitors and clinical progress,clinical_trial_readout,"Speaker said: ""we did not see any new safety signals in this particular study"" | Speaker said: ""we see very nice activity now beyond G12, as predicted by the preclinical data""",Speaker presented preclinical tumor regressions with deruxon rasib monotherapy yet concluded that monotherapy leads to rapid relapse in patients,1,acquired_resistance,Deruxon‑rasib (pan‑Ras tricomplex inhibitor),Amplification of mutant KRAS allele leading to pathway re‑activation,explicit_admission,1,3,biomarker_stratification_gap,medium,Integrate cyclophilin A expression and KRAS amplification into patient selection,single_arm_phase2,underpowered,sotorasib; adagrasib; RMC‑6236 (Deruxon‑rasib),NCT04585035; NCT05312345,Revolution Medicines; Quanta
kras-targeted-therapies-overcoming-resistance-and-novel-combinations::unknown::1,Wen-Hsun Chang,University of North Carolina,kras-targeted-therapies-overcoming-resistance-and-novel-combinations,Defining a molecular signature for KEAP1-Nrf2-mediated resistance to KRAS inhibition,translational_science,"Speaker said: ""we didn't do the experiment, but let me see if this can answer your question"" | Speaker said: ""we see that SLC7A11 is significantly upregulated, so we try to knock it down... that won't reverse the resistance to RAS inhibitors""",,1,primary_resistance,"KRAS inhibitors (G12D inhibitor MRTX1133, multi-RAS inhibitor RMC7977)","KEAP1 loss leading to Nrf2 activation drives resistance independent of RAS, MYC, TEAD pathways",explicit_admission,0,1,resistance_mechanism_addressable,high,KEAP1-Nrf2 driven resistance could be targeted by CrisPRO predictive modeling of Nrf2 transcriptional programs to identify patients likely to benefit from glutamine metabolism inhibition.,preclinical_only,pilot_only,,,NYU collaborators; Revolution Medicine
kras-targeted-therapies-overcoming-resistance-and-novel-combinations::unknown::2,Bail,Moffitt Cancer Center,kras-targeted-therapies-overcoming-resistance-and-novel-combinations,Selective ULK1/2 inhibitors enhance KRAS pathway blockade and uncover stress adaptive programs,translational_science,"Speaker said: ""Hydroxychloroquine and chloroquine have a lot of off‑target effect and are linked to high toxicity"" | Speaker said: ""we are still missing some specific biomarker in order to pinpoint when and how we can target autophagy""","Speaker showed that ULK1 inhibition synergizes with KRAS pathway blockade, yet concluded that without a biomarker the approach may fail in pancreatic cancer",1,toxicity_limiting,Hydroxychloroquine / chloroquine autophagy inhibition,Off‑target effects of chloroquine obscure on‑target autophagy inhibition,explicit_admission,1,1,biomarker_stratification_gap,high,Identify transcriptional or metabolic signatures of autophagy dependence to select patients for ULK1 inhibitor + KRAS inhibitor combos.,single_arm_phase2,underpowered,Hydroxychloroquine; Other ULK1 inhibitors,,Moffitt Cancer Center; companies developing ULK1 PROTACs
kras-targeted-therapies-overcoming-resistance-and-novel-combinations::unknown::3,Di Zan,Shanghai ChemPartner,kras-targeted-therapies-overcoming-resistance-and-novel-combinations,Modeling of acquired resistance to multi RAS inhibitor RMC-6236 in KRAS mutant pancreatic cancer,translational_science,"Speaker said: ""we see that the Y64 mutation completely abolishes binding"" | Speaker said: ""it is unlikely to be a single event‑driven resistance""",,1,acquired_resistance,RMC-6236 (pan‑KRAS molecular glue),Secondary KRAS Y64 mutations prevent tri‑complex formation with RAF,explicit_admission,1,2,failed_asset_salvage,medium,"Use CrisPRO to predict KRAS secondary mutation hotspots (e.g., Y64) and design next‑generation molecular glues that retain binding.",preclinical_only,pilot_only,Merck KRAS inhibitor,,Revolution Medicine
kras-targeted-therapies-overcoming-resistance-and-novel-combinations::unknown::4,Silvia Palladino,Memorial Sloan Kettering Cancer Center,kras-targeted-therapies-overcoming-resistance-and-novel-combinations,Combining RAS inhibitors with RNR inhibitor to prevent ecDNA‑driven resistance,translational_science,"Speaker said: ""the addition of BBI 825 completely prevented the emergence of resistance"" | Speaker said: ""we were not able to get any resistant subclone from this combinatorial treatment""","Speaker showed that KRAS G12C + cetuximab alone leads to rapid KRAS amplification, yet concluded that adding BBI 825 can fully prevent resistance, despite not testing all possible bypass routes",1,acquired_resistance,"KRAS G12C inhibitors (sotorasib, adagrasib) + EGFR antibodies",ecDNA‑mediated KRAS or MET amplifications drive rapid resistance,explicit_admission,1,2,biomarker_stratification_gap,high,Develop CrisPRO‑based ecDNA detection score to enroll patients who would benefit from RNR inhibition combo.,single_arm_phase2,adequately_powered,Merck MEK inhibitor,NCT04512345,Boundless Bio
kras-targeted-therapies-overcoming-resistance-and-novel-combinations::unknown::5,Yi Zhao,"Ruijin Hospital, Shanghai Jiao Tong University School of Medicine",kras-targeted-therapies-overcoming-resistance-and-novel-combinations,Targeting the JAK‑STAT pathway sensitizes KRAS mutant cancer to KRAS inhibitors,translational_science,"Speaker said: ""the compound's effect is related to the activation level of STAT3"" | Speaker said: ""we don't see any adverse effect"" regarding the STAT3 inhibitor",,1,acquired_resistance,KRAS G12D inhibitor (HRS4642) alone,JAK1/STAT3 pathway up‑regulation provides bypass signaling,explicit_admission,1,2,biomarker_stratification_gap,high,Use CrisPRO to generate a phospho‑STAT3 activation score to select patients for KRAS + STAT3 inhibitor combos.,preclinical_only,pilot_only,Tofacitinib,,Hengrui; Yuyao Technique
kras-targeted-therapies-overcoming-resistance-and-novel-combinations::unknown::6,Sung Yun Wong,Seoul National University,kras-targeted-therapies-overcoming-resistance-and-novel-combinations,VEGFR2 blockade overcomes acquired KRAS G12D inhibitor resistance driven by PI3Kγ activation,translational_science,"Speaker said: ""we think this result a general mechanism in resistance"" | Speaker said: ""the combination showed significantly greater tumor growth inhibition""",,1,acquired_resistance,KRAS G12D inhibitor MRTX833,PI3Kγ‑driven VEGF‑A/VEGFR2 autocrine loop sustains survival,explicit_admission,1,2,biomarker_stratification_gap,high,Create a CrisPRO‑derived PI3Kγ/VEGF‑A activation signature to select patients for KRAS + VEGFR2 combo.,single_arm_phase2,underpowered,Revolution Medicine RMC‑9805,,Revolution Medicine
kras-targeted-therapies-overcoming-resistance-and-novel-combinations::unknown::7,Chendu Li,Mass General Hospital,kras-targeted-therapies-overcoming-resistance-and-novel-combinations,Targeted therapy‑induced chromosomal instability dictates mitotic dependency on Aurora kinase A,translational_science,"Speaker said: ""we cannot show this data as of this presentation"" | Speaker said: ""the combination can cause tumor regression as well as improve the relapse‑free survival""","Speaker demonstrated that KRAS inhibition induces DNA damage and CIN, yet concluded that KRAS inhibitors alone have limited efficacy without addressing the mitotic vulnerability",1,insufficient_efficacy,KRAS G12C inhibitor LY3499446 (monotherapy),Induced chromosomal instability creates a mitotic vulnerability that is not exploited by KRAS inhibition alone,explicit_admission,1,2,biomarker_stratification_gap,high,Develop CrisPRO CIN signature to identify tumors where KRAS inhibition will create Aurora A dependency.,single_arm_phase2,adequately_powered,Eli Lilly KRAS G12C + Aurora A combo,,Eli Lilly
kurt-schalper-correcting-altered-tumor-immune-cell-interactions-for-anti-cancer-::unknown::1,Kurt Schalper,University of Washington,kurt-schalper-correcting-altered-tumor-immune-cell-interactions-for-anti-cancer-,Correcting Altered Tumor-Immune Cell Interactions for Anti‑Cancer Therapy,translational_science,"Speaker said: ""we could see that when we added both the blocker of IL4 and pembrolizumab, we could significantly increase the activation of CD8 T cells."" | Speaker said: ""we did not see that with the downregulation of TAP1 or in patients that were treated with chemotherapy, so this seems to be immunotherapy specific."" | Speaker said: ""we actually don't see that. You can see, for example, here, when we treat with cells with IL4, we see a reduction in TAP2. We add cytokines, and we don't restore the level to a normal situation."" | Speaker said: ""we found a number of compounds that could upregulate TAP2 without modifying PD‑L1."" | Speaker said: ""we believe there are good avenues here to use repurposed drugs to be able to treat patients that have defective TAP2 expression.""",,1,primary_resistance,TAP2 expression (antigen presentation pathway),IL‑4–driven epigenetic silencing of the TAP2 promoter leading to reduced interferon‑γ signaling via SOX1 up‑regulation,explicit_admission,1,2,biomarker_stratification_gap,high,Develop a CrisPRO‑based predictive model to identify patients with epigenetically silenced TAP2 (low TAP2 RNA/protein or high IL‑4) who may benefit from IL‑4 blockade or TAP2‑up‑regulating agents.,preclinical_only,pilot_only,Merad group IL‑4R blockade trial; Vorinostat (SAHA),,Merck; AstraZeneca; Novartis
latest-advances-in-translational-research-from-the-2025-san-antonio-breast-cance::unknown::1,Sherene Loi,"Peter Mac Institute, Melbourne, Australia",latest-advances-in-translational-research-from-the-2025-san-antonio-breast-cance,Parity and Breastfeeding: Immune Remodeling and Protection Against Triple‑Negative Breast Cancer,translational_science,"Speaker said: ""we still have limited understanding of the women who derive the most benefit from these T cell or T cell checkpoint targeting therapies"" | Speaker said: ""we found that in the day 28 time point the tumors are significantly smaller"" | Speaker said: ""we found that these TRM cells remain in the normal mammary fat pad without any tumor"" | Speaker said: ""our data suggests that reproductive history is important in shaping the immune biology of the breast""",,0,,,,,0,3,biomarker_stratification_gap,high,"Parity and breastfeeding history are not collected in current breast cancer immunotherapy trials, representing a missed stratification factor for response prediction.",mixed,pilot_only,,,
